"","precursor_name","updated_precursor_name"
"601","PG(20:0_22:5)","PG(20:0_22:5)"
"602","PG(20:0_22:6)","PG(20:0_22:6)"
"603","SIL_PG(15:0_18:1)_d7_SPLASH","SIL_PG(15:0_18:1)_d7"
"604","PI(14:0_14:0)","PI(14:0_14:0)"
"605","PI(14:0_18:1)","PI(14:0_18:1)"
"606","PI(14:0_18:2)","PI(14:0_18:2)"
"607","PI(14:0_18:3)","PI(14:0_18:3)"
"608","PI(14:0_20:1)","PI(14:0_20:1)"
"609","PI(14:0_20:2)","PI(14:0_20:2)"
"610","PI(14:0_20:3)","PI(14:0_20:3)"
"611","PI(14:0_20:4)","PI(14:0_20:4)"
"612","PI(14:0_20:5)","PI(14:0_20:5)"
"613","PI(14:0_22:4)","PI(14:0_22:4)"
"614","PI(14:0_22:5)","PI(14:0_22:5)"
"615","PI(14:0_22:6)","PI(14:0_22:6)"
"616","PI(14:1_14:1)","PI(14:1_14:1)"
"617","PI(16:0_14:0)","PI(16:0_14:0)"
"618","PI(16:0_16:0)","PI(16:0_16:0)"
"619","PI(16:0_16:1)","PI(16:0_16:1)"
"620","PI(16:0_18:0)","PI(16:0_18:0)"
"621","PI(16:0_18:1)","PI(16:0_18:1)"
"622","PI(16:0_18:2)","PI(16:0_18:2)"
"623","PI(16:0_18:3)","PI(16:0_18:3)"
"624","PI(16:0_20:1)","PI(16:0_20:1)"
"625","PI(16:0_20:2)","PI(16:0_20:2)"
"626","PI(16:0_20:3)","PI(16:0_20:3)"
"627","PI(16:0_20:4)","PI(16:0_20:4)"
"628","PI(16:0_20:5)","PI(16:0_20:5)"
"629","PI(16:0_22:4)","PI(16:0_22:4)"
"630","PI(16:0_22:5)","PI(16:0_22:5)"
"631","PI(16:0_22:6)","PI(16:0_22:6)"
"632","PI(18:0_14:0)","PI(18:0_14:0)"
"633","PI(18:0_16:1)","PI(18:0_16:1)"
"634","PI(18:0_18:0)","PI(18:0_18:0)"
"635","PI(18:0_18:1)","PI(18:0_18:1)"
"636","PI(18:0_18:2)","PI(18:0_18:2)"
"637","PI(18:0_18:3)","PI(18:0_18:3)"
"638","PI(18:0_20:0)","PI(18:0_20:0)"
"639","PI(18:0_20:1)","PI(18:0_20:1)"
"640","PI(18:0_20:2)","PI(18:0_20:2)"
"641","PI(18:0_20:3)","PI(18:0_20:3)"
"642","PI(18:0_20:4)","PI(18:0_20:4)"
"643","PI(18:0_20:5)","PI(18:0_20:5)"
"644","PI(18:0_22:4)","PI(18:0_22:4)"
"645","PI(18:0_22:5)","PI(18:0_22:5)"
"646","PI(18:0_22:6)","PI(18:0_22:6)"
"647","PI(18:1_16:1)","PI(18:1_16:1)"
"648","PI(18:1_18:1)","PI(18:1_18:1)"
"649","PI(18:1_18:2)","PI(18:1_18:2)"
"650","PI(18:1_18:3)","PI(18:1_18:3)"
"651","PI(18:1_20:1)","PI(18:1_20:1)"
