"","precursor_name","updated_precursor_name"
"942","TAG(51:1_FA18:1)","TG(51:1_FA18:1)"
"943","TAG(51:2_FA16:0)","TG(51:2_FA16:0)"
"944","TAG(51:2_FA16:1)","TG(51:2_FA16:1)"
"945","TAG(51:2_FA17:0)","TG(51:2_FA17:0)"
"946","TAG(51:2_FA18:1)","TG(51:2_FA18:1)"
"947","TAG(51:2_FA18:2)","TG(51:2_FA18:2)"
"948","TAG(51:3_FA16:1)","TG(51:3_FA16:1)"
"949","TAG(51:3_FA17:0)","TG(51:3_FA17:0)"
"950","TAG(51:3_FA18:2)","TG(51:3_FA18:2)"
"951","TAG(51:3_FA18:3)","TG(51:3_FA18:3)"
"952","TAG(51:4_FA16:1)","TG(51:4_FA16:1)"
"953","TAG(51:4_FA18:2)","TG(51:4_FA18:2)"
"954","TAG(51:4_FA18:3)","TG(51:4_FA18:3)"
"955","TAG(51:4_FA20:4)","TG(51:4_FA20:4)"
"956","TAG(51:5_FA18:2)","TG(51:5_FA18:2)"
"957","TAG(51:5_FA18:3)","TG(51:5_FA18:3)"
"958","TAG(52:0_FA16:0)","TG(52:0_FA16:0)"
"959","TAG(52:0_FA18:0)","TG(52:0_FA18:0)"
"960","TAG(52:0_FA20:0)","TG(52:0_FA20:0)"
"961","TAG(52:1_FA16:0)","TG(52:1_FA16:0)"
"962","TAG(52:1_FA16:1)","TG(52:1_FA16:1)"
"963","TAG(52:1_FA18:0)","TG(52:1_FA18:0)"
"964","TAG(52:1_FA18:1)","TG(52:1_FA18:1)"
"965","TAG(52:1_FA20:0)","TG(52:1_FA20:0)"
"966","TAG(52:1_FA20:1)","TG(52:1_FA20:1)"
"967","TAG(52:2_FA14:0)","TG(52:2_FA14:0)"
"968","TAG(52:2_FA16:0)","TG(52:2_FA16:0)"
"969","TAG(52:2_FA16:1)","TG(52:2_FA16:1)"
"970","TAG(52:2_FA18:0)","TG(52:2_FA18:0)"
"971","TAG(52:2_FA18:1)","TG(52:2_FA18:1)"
"972","TAG(52:2_FA18:2)","TG(52:2_FA18:2)"
"973","TAG(52:2_FA20:0)","TG(52:2_FA20:0)"
"974","TAG(52:2_FA20:1)","TG(52:2_FA20:1)"
"975","TAG(52:2_FA20:2)","TG(52:2_FA20:2)"
"976","TAG(52:3_FA14:0)","TG(52:3_FA14:0)"
"977","TAG(52:3_FA16:0)","TG(52:3_FA16:0)"
"978","TAG(52:3_FA16:1)","TG(52:3_FA16:1)"
"979","TAG(52:3_FA18:0)","TG(52:3_FA18:0)"
"980","TAG(52:3_FA18:1)","TG(52:3_FA18:1)"
"981","TAG(52:3_FA18:2)","TG(52:3_FA18:2)"
"982","TAG(52:3_FA18:3)","TG(52:3_FA18:3)"
"983","TAG(52:3_FA20:0)","TG(52:3_FA20:0)"
